Name of press / initiative,Introduction,Year established,Location,Region,Geocoordinates,Link
windpark books,"windpark books is an independent publishing group for contemporary art based in frankfurt am main, Yokohama and Vienna, founded in darmstadt in 2017 by leonhard fuchs, felix hofmann-wissner and jana matejka. in 2023 paul Jürgens joined the park. the publishing company is an open park for the joint development and publication of genre-fluid and independent publications that are created in close collaboration with artists, writers and scientists. during their studies, felix, jana and leo came up with the idea of founding a publishing company in may 2017 while searching for a platform for intellectual exchange and the publication of interesting works. during this time the demise of print products was already predicted in all major media. established newspapers are increasingly switching to digital subscriptions – everything gets a „plus“, „pur“ or „premium“. from america it echoes „there’s no money in books„. with a start-up capital of €80 – collected from 13 friends – jana, leo and felix set out on a dilettante saga, in spite of the economic spirit of time and against the modern windmills of late capitalism. in march 2018, the 10th publication, the (hand-bound over three days) artist book „85 tage“ by simon schmalhorst, is published. in mid-2019, windpark books expands to japan and opens a second office in yokohama. In may 2020, the 35th publication of the publishing company is released: the tape set „kudos on soundcloud“ by and with artist and musician tori kudo. the yokohama branch is closed in 2021 in search of new locations. in the first five years, windpark books has worked with 45 artists, writers and scientists on more than 40 different publications. the scope of the publications ranges from 16-page zines to 2kg photo books – from small, intimate editions to publications such as „kudos on soundcloud“ or „a beautiful party“, which were well received by an international audience. windpark books understands publications as a holistic artistic creation, so realization, production and edition are essentially based on an individual concept and therefore do not necessarily pursue an economic added value. paul, jana, leo and felix take on the position of publishers, curators and editors in their collective work. the collaborative idea, the mutual exchange of knowledge and the opportunity to gain insight into other worlds of work, life and interests is always at the core. an ideology of the printed publication as a higher medium.",2017,"Frankfurt, Germany",Europe,"50.1109, 8.6821",https://windparkbooks.de/
Wander and Wonder Creative,"Wander and Wonder Creative is an independent design and craft studio founded in 2018, with the mission to seek out underreported stories and overlooked narratives; gaining international recognition with its award-winning PLATES Magazine series, which carries four titles to date. Staying true to its founding core values of human rights, social justice, decolonisation of narratives and knowledge, and collective movement for change, the studio has since created a new range of title series as well as experimented with manual zine-making techniques, playing with everyday objects and material waste to invite readers to wander, wonder and explore beyond the pages.",2018,"Kuala Lumpur, Malaysia",Southeast Asia,"3.1319, 101.6841",https://platesmagazine.com/
Woman Cave Collective,"Woman Cave is a design studio founded by two friends, architect Chloé Macary Carney and artist Léticia Chanliau. We have been working on notions of gender and inclusivity in inhabited spaces since 2019. We explore this theme through the publication of a bi-annual journal called Woman Journal, the setting up of participatory workshops and the realization of spaces and design objects. We also take part in exhibitions and biennials as part of cultural programs at the crossroads of contemporary art, architecture and design. We work to revitalize craft practices and DIY methods, in a spirit of transdisciplinarity and benevolence, with an emphasis on re-use.",2019,"Montreuil, France",Europe,"48.8618, 2.4466",https://womancave.hotglue.me/
Women’s Studio Workshop,"Founded in 1974, Women’s Studio Workshop (WSW) operates and maintains an artists’ workspace that encourages the voice and vision of women, trans, intersex, nonbinary, and genderfluid artists. In addition to a robust artists’ book publishing program, artist residency, archive, and classes, WSW maintains etching, letterpress, papermaking, silkscreen, ceramics, and photography facilities.",1974,"Rosendale, New York, US",North America,"41.8443, -74.0811",https://wsworkshop.org/
Wuthipol.designs,"A Bangkok-based self-publisher, zine maker and graphic designer who makes photographs to make books and zines, an artist who observes urban mundane through colours, geometric abstraction and minimalism.",,"Bangkok, Thailand",Southeast Asia,"13.7563, 100.5018",https://wuthipoldesigns.bigcartel.com/products
XAO,"Xao is a gallery, bookshop and tiny publishing house on Krymská street in Prague. Since 2016 we are organizing exhibitions, devoted to the field of illustration, graphics and book culture in general. We’re organising art workshops for children, readings, book launches. Our book case is focused on picture books and comics, including more experimental project in sometimes very small print runs. We present books and prints from Czech and foreign illustrators and comic artists, from established artists to students or interesting amateurs.",2016,"Prague, Czech",Europe,"50.0755, 14.4378",
Xaraxura,"""Xaraxura"" is a community space, risograph printshop and publishing in Tbilisi, Georgia. We are a small collective and publishing house made up of artists and researchers, dedicated to supporting the development of independent print culture. Alongside printing, we also organize events such as sketching meetups, talks, workshops, and film screenings. Occasionally, we sell prints and other printed materials as well. Xaraxura Press is an independent publishing space founded in 2023 by researchers, artists, and designers Giorgi Kikoria, Mariam Kakhniashvili, and Ana Mikadze. Open to the public since August 2023, Xaraxura has since grown into a collective, fostering a dynamic environment for experimental printmaking, radical publishing, and interdisciplinary collaboration. Dedicated to amplifying underrepresented artists and printed matter, the space operates as both a risography studio and a platform for small-run publications, workshops, and public programming. With a strong focus on collective knowledge-sharing, Xaraxura Press reimagines publishing as a tool for critical discourse, creative resistance, and shared authorship.",2023,"Tbilisi, Georgia",Europe,"41.6938, 44.8015",https://xaraxurapress.cargo.site/
Year Zero,"Year Zero was originally founded in Istanbul in 2019 as a magazine dedicated to exploring nascent subcultures globally. By 2023, it evolved into an independent publishing house, partnering with Rota Printing+Packaging to support contemporary storytellers in bringing their ideas to life—whether through books, magazines, community-focused events, or a blend of these formats. Year Zero’s founding spirit always remains the same, even if its nature is ever-changing: Seeking out new ideas to translate into pathways where diverse communities can connect and interact. At Year Zero, every project is a new beginning, a distinctive experiment where risk-taking converges with technical acumen. Accompanying their development from printing to distribution, we engineer dedicated ecosystems where the ideas we curate can thrive, free from conventional constraints. Year Zero exists equally in both digital and physical spaces. We are close-quarter interactions, tactile experiences, and communal gatherings. At the same time, we are an online platform where our catalog can be explored and purchased, and where upcoming publications find their testing ground.",2019,"Istanbul, Turkey",Middle East,"41.0082, 28.9784",https://yearzero.com/
Ziya Ismail,"About the Artist: Ziya Ismail is an architect and artist from India, now based in Dubai. Her art delves into the connections between nature and the human self, exploring how natural forms can mirror emotions. Her appreciation for nature's patterns began in her home state of Kerala, India, and her work focuses on the relationships between the shapes, colors and patterns in nature and their role in ecological systems.",,"Dubai, United Arab Emirates",Middle East,"25.2048, 55.2708",
ZONE,"ZONE is an independent book publisher and photography based visual arts platform run by its founder, Ali Beşikçi. Started in the summer of 2018 as a personal research project, the aim of ZONE is to cultivate a variety of dialogues between artists and their audience, as well as supporting them with printed and online publications. We make monographs, artists’ books and other collective creatures. We are drawn to works that suggest instead of showing, that whisper instead of shouting, that reach light through a deep exploration of darkness. We don’t accept any discriminatory behaviour: no racism, no fascism, no sexism, no lesbian/trans/homophobia, no support for genocides! Manifesto: Works that transcend their original statement, that give birth to different meanings, that have multiple exits or, on the contrary, end up being “cul-de-sac”s! Works that create worlds in which the audience can walk about! Works that are slow to expose themselves, that require deep reflection! Works with an idea behind! Works that inspire the audience to become “participants” instead of just “spectators”! Works that use what’s real and still create their own reality! Works that don’t try hard to make themselves pretty! Works that don’t need to “fake it” to get attention! To accept that photography is a language, with each work containing its own alphabet and dictionary! To know that an idea can be presented in more ways than one! To know that it’s possible for a work to be “unfinished”! To always be sceptical about the work!",2018,"Istanbul, Turkey",Middle East,,https://www.thezonezine.com/
Zontiga,"Zontiga is a creative hub for photography enthusiasts. We publish photobooks, organize exhibitions, workshops, talks and events, and hope to inspire more individuals to embrace photography in its tangible form. Tiga Mata is a bi-annual photography zine rooted in Southeast Asia, dedicated to spotlighting the region’s vibrant and diverse photographic voices. Its name, meaning “Three Eyes” in Malay, reflects how photographers in the region often navigate the world visually, emotionally, and contextually. Each issue is built around a specific theme and is curated in collaboration with a guest editor—bringing fresh curatorial energy and deeper regional insight.",,"Petaling Jaya, Malaysia",Southeast Asia,"3.1292, 101.6165",https://zontiga.com/
32° East,Transforming how art is created and seen in Uganda by giving artists the support they need to critically reflect our world and imagine a new one,2011,"Kampala, Uganda",Africa,"0.3152, 32.5816",https://32east.org/
51 personae,"51 Personae is a collaborative art project, publishing initiative, and cooperative platform. It started as an off-site program of the 11th Shanghai Biennale, composed of 51 events in Shanghai based on individual/group experiences/actions within the context of urban transformation (2016-17). Since 2018 onwards, it has evolved into a self-sustaining independent art publishing project, believing that publishing is both an urgent and valid artistic practice. 51 Personae places special emphasis on life experiences in Asia and the Third World, as well as marginalized voices under suppression. It collaborates with individual artists, designers, translators, collectives and self-organized social forms in Asia and beyond; exploring the contemporary forms, possibilities and potential of ""realism"" in art as expressive actions.",2018,"Shanghai, China",East Asia,"31.2304, 121.4737",https://www.instagram.com/51personaeproject/
